[ 8. 31.  1.],[ 9. 56.  1.],[10. 59.  1.],[11. 69.  1.],[12. 53.  1.],[13. 49.  1.],[14. 25.  1.],[15. 56.  1.],[16. 61.  1.],[17. 96.  1.],[18. 99.  1.],[19. 53.  1.],[ 20. 104.   1.],[ 21. 160.   1.],[ 22. 115.   1.],[23. 85.  1.],[ 0. 39.  2.],[ 1. 21.  2.],[2. 5. 2.],[3. 5. 2.],[4. 1. 2.],[5. 2. 2.],[6. 8. 2.],[ 7. 18.  2.],[ 8. 42.  2.],[ 9. 55.  2.],[1677.06433105 1698.34716797 1494.2043457 ]
[12. 53.  1.],[13. 49.  1.],[14. 25.  1.],[15. 56.  1.],[16. 61.  1.],[17. 96.  1.],[18. 99.  1.],[19. 53.  1.],[ 20. 104.   1.],[ 21. 160.   1.],[ 22. 115.   1.],[23. 85.  1.],[ 0. 39.  2.],[ 1. 21.  2.],[2. 5. 2.],[3. 5. 2.],[4. 1. 2.],[5. 2. 2.],[6. 8. 2.],[ 7. 18.  2.],[ 8. 42.  2.],[ 9. 55.  2.],[10. 66.  2.],[11. 78.  2.],[12. 46.  2.],[13. 42.  2.],[1680.63146973 1702.2923584  1497.66760254]
[ 20. 125.   3.],[ 21. 110.   3.],[ 22. 132.   3.],[ 23. 123.   3.],[ 0. 35.  4.],[ 1. 17.  4.],[ 2. 16.  4.],[3. 1. 4.],[4. 2. 4.],[5. 2. 4.],[6. 7. 4.],[ 7. 17.  4.],[ 8. 46.  4.],[ 9. 69.  4.],[10. 85.  4.],[ 11. 106.   4.],[12. 64.  4.],[13. 59.  4.],[14. 53.  4.],[15. 81.  4.],[16. 61.  4.],[17. 81.  4.],[18. 85.  4.],[19. 20.  4.],[20. 35.  4.],[21. 26.  4.],[1660.03442383 1679.0916748  1480.17687988]
[ 20. 100.   2.],[ 21. 128.   2.],[ 22. 179.   2.],[23. 54.  2.],[ 0. 13.  3.],[ 1. 29.  3.],[ 2. 19.  3.],[ 3. 13.  3.],[4. 6. 3.],[5. 5. 3.],[6. 9. 3.],[ 7. 22.  3.],[ 8. 42.  3.],[ 9. 66.  3.],[10. 83.  3.],[11. 81.  3.],[12. 35.  3.],[13. 34.  3.],[14. 16.  3.],[15. 33.  3.],[16. 43.  3.],[17. 52.  3.],[18. 67.  3.],[19. 65.  3.],[ 20. 125.   3.],[ 21. 110.   3.],[1702.55651855 1725.71960449 1514.26196289]
[ 22. 132.   3.],[ 23. 123.   3.],[ 0. 35.  4.],[ 1. 17.  4.],[ 2. 16.  4.],[3. 1. 4.],[4. 2. 4.],[5. 2. 4.],[6. 7. 4.],[ 7. 17.  4.],[ 8. 46.  4.],[ 9. 69.  4.],[10. 85.  4.],[ 11. 106.   4.],[12. 64.  4.],[13. 59.  4.],[14. 53.  4.],[15. 81.  4.],[16. 61.  4.],[17. 81.  4.],[18. 85.  4.],[19. 20.  4.],[20. 35.  4.],[21. 26.  4.],[ 22. 117.   4.],[ 23. 166.   4.],[1699.22900391 1722.6739502  1511.46972656]
[ 0. 94.  6.],[ 1. 47.  6.],[ 2. 27.  6.],[ 3. 14.  6.],[ 4. 22.  6.],[5. 5. 6.],[ 6. 16.  6.],[ 7. 16.  6.],[ 8. 37.  6.],[ 9. 68.  6.],[10. 74.  6.],[ 11. 128.   6.],[12. 46.  6.],[13.  9.  6.],[14. 53.  6.],[15. 66.  6.],[16. 87.  6.],[17. 66.  6.],[18. 33.  6.],[19. 41.  6.],[ 20. 144.   6.],[ 21. 158.   6.],[22. 62.  6.],[ 23. 119.   6.],[ 0. 45.  7.],[ 1. 24.  7.],[1697.4967041 1720.0020752 1511.0904541]
[17. 76.  2.],[18. 69.  2.],[19. 89.  2.],[ 20. 100.   2.],[ 21. 128.   2.],[ 22. 179.   2.],[23. 54.  2.],[ 0. 13.  3.],[ 1. 29.  3.],[ 2. 19.  3.],[ 3. 13.  3.],[4. 6. 3.],[5. 5. 3.],[6. 9. 3.],[ 7. 22.  3.],[ 8. 42.  3.],[ 9. 66.  3.],[10. 83.  3.],[11. 81.  3.],[12. 35.  3.],[13. 34.  3.],[14. 16.  3.],[15. 33.  3.],[16. 43.  3.],[17. 52.  3.],[18. 67.  3.],[1684.58911133 1706.5435791  1500.40002441]
[15. 60.  2.],[16. 57.  2.],[17. 76.  2.],[18. 69.  2.],[19. 89.  2.],[ 20. 100.   2.],[ 21. 128.   2.],[ 22. 179.   2.],[23. 54.  2.],[ 0. 13.  3.],[ 1. 29.  3.],[ 2. 19.  3.],[ 3. 13.  3.],[4. 6. 3.],[5. 5. 3.],[6. 9. 3.],[ 7. 22.  3.],[ 8. 42.  3.],[ 9. 66.  3.],[10. 83.  3.],[11. 81.  3.],[12. 35.  3.],[13. 34.  3.],[14. 16.  3.],[15. 33.  3.],[16. 43.  3.],[1672.97814941 1693.46362305 1490.98510742]
[4. 1. 1.],[5. 5. 1.],[ 6. 16.  1.],[ 7. 17.  1.],[ 8. 31.  1.],[ 9. 56.  1.],[10. 59.  1.],[11. 69.  1.],[12. 53.  1.],[13. 49.  1.],[14. 25.  1.],[15. 56.  1.],[16. 61.  1.],[17. 96.  1.],[18. 99.  1.],[19. 53.  1.],[ 20. 104.   1.],[ 21. 160.   1.],[ 22. 115.   1.],[23. 85.  1.],[ 0. 39.  2.],[ 1. 21.  2.],[2. 5. 2.],[3. 5. 2.],[4. 1. 2.],[5. 2. 2.],[1708.87939453 1729.52624512 1515.1439209 ]
[ 21. 160.   1.],[ 22. 115.   1.],[23. 85.  1.],[ 0. 39.  2.],[ 1. 21.  2.],[2. 5. 2.],[3. 5. 2.],[4. 1. 2.],[5. 2. 2.],[6. 8. 2.],[ 7. 18.  2.],[ 8. 42.  2.],[ 9. 55.  2.],[10. 66.  2.],[11. 78.  2.],[12. 46.  2.],[13. 42.  2.],[14. 67.  2.],[15. 60.  2.],[16. 57.  2.],[17. 76.  2.],[18. 69.  2.],[19. 89.  2.],[ 20. 100.   2.],[ 21. 128.   2.],[ 22. 179.   2.],[1707.59558105 1731.05126953 1518.31518555]
[10. 66.  2.],[11. 78.  2.],[12. 46.  2.],[13. 42.  2.],[14. 67.  2.],[15. 60.  2.],[16. 57.  2.],[17. 76.  2.],[18. 69.  2.],[19. 89.  2.],[ 20. 100.   2.],[ 21. 128.   2.],[ 22. 179.   2.],[23. 54.  2.],[ 0. 13.  3.],[ 1. 29.  3.],[ 2. 19.  3.],[ 3. 13.  3.],[4. 6. 3.],[5. 5. 3.],[6. 9. 3.],[ 7. 22.  3.],[ 8. 42.  3.],[ 9. 66.  3.],[10. 83.  3.],[11. 81.  3.],[1700.71130371 1723.51318359 1512.82043457]
[14. 53.  4.],[15. 81.  4.],[16. 61.  4.],[17. 81.  4.],[18. 85.  4.],[19. 20.  4.],[20. 35.  4.],[21. 26.  4.],[ 22. 117.   4.],[ 23. 166.   4.],[ 0. 64.  5.],[ 1. 20.  5.],[2. 7. 5.],[3. 2. 5.],[4. 4. 5.],[5. 2. 5.],[6. 2. 5.],[ 7. 10.  5.],[ 8. 47.  5.],[ 9. 58.  5.],[10. 88.  5.],[11. 62.  5.],[12. 50.  5.],[13. 31.  5.],[14. 74.  5.],[15. 88.  5.],[1696.4395752  1719.24914551 1509.47363281]
